modul,einheit,zyklus,domaene,kennzahl,wert,art,quelle,hinweis
M302,Estonia,2025,sci,P10,409.8,OFFICIAL_STATLINK,Figure I.2.1,
M302,Estonia,2025,sci,P25,466.4,OFFICIAL_STATLINK,Figure I.2.1,
M302,Estonia,2025,sci,P50,529.7,OFFICIAL_STATLINK,Figure I.2.1,
M302,Estonia,2025,sci,P75,588.9,OFFICIAL_STATLINK,Figure I.2.1,
M302,Estonia,2025,sci,P90,639.5,OFFICIAL_STATLINK,Figure I.2.1,
M302/M301,Estonia,2025,sci,P90−P10,229.7,DERIVED_OFFICIAL,"Figure I.2.1, Differenz",
M302/M301,Estonia,2025,sci,unter Stufe 2 (%),9.9,DERIVED_OFFICIAL,"Figure I.2.3, Summe Stufen <1b–1a",
M302/M301,Estonia,2025,sci,Stufe 5–6 (%),11.3,DERIVED_OFFICIAL,"Figure I.2.3, Summe Stufen 5–6",
M302,Estonia,2022→2025,sci,Veränderung (n. s.),1.3,OFFICIAL_STATLINK,Table I.2.6,
M302,Estonia,2022→2025,read,Veränderung (sig.),-11.8,OFFICIAL_STATLINK,Table I.2.6,
M302,Estonia,2022→2025,math,Veränderung (n. s.),-2.1,OFFICIAL_STATLINK,Table I.2.6,
M302,Estonia,10 Jahre,sci,Dezennaltrend (n. s.),-7.6,OFFICIAL_STATLINK,Table I.2.9,
M302,Estonia,10 Jahre,read,Dezennaltrend (sig.),-21.3,OFFICIAL_STATLINK,Table I.2.9,
M302,Estonia,10 Jahre,math,Dezennaltrend (sig.),-14.7,OFFICIAL_STATLINK,Table I.2.9,
M302/M301,Korea,2025,sci,Mittelwert,526.1,OFFICIAL_STATLINK,StatLink xgs41b Table I.2.o3–o6,
M302/M301,Korea,2025,sci,SE (aus 95-%-KI),3.32,DERIVED_CI,"KI-Breite/(2·1,96)",
M302,Korea,2025,sci,Rangspanne (alle),5–7,OFFICIAL_STATLINK,Table I.2.o3–o6,
M302/M301,Korea,2025,read,Mittelwert,500.6,OFFICIAL_STATLINK,StatLink xgs41b Table I.2.o3–o6,
M302/M301,Korea,2025,read,SE (aus 95-%-KI),3.32,DERIVED_CI,"KI-Breite/(2·1,96)",
M302,Korea,2025,read,Rangspanne (alle),3–13,OFFICIAL_STATLINK,Table I.2.o3–o6,
M302/M301,Korea,2025,math,Mittelwert,522.3,OFFICIAL_STATLINK,StatLink xgs41b Table I.2.o3–o6,
M302/M301,Korea,2025,math,SE (aus 95-%-KI),3.83,DERIVED_CI,"KI-Breite/(2·1,96)",
M302,Korea,2025,math,Rangspanne (alle),5–7,OFFICIAL_STATLINK,Table I.2.o3–o6,
M302/M301,Korea,2025,cps,Mittelwert,537.7,OFFICIAL_STATLINK,StatLink xgs41b Table I.2.o3–o6,
M302/M301,Korea,2025,cps,SE (aus 95-%-KI),2.81,DERIVED_CI,"KI-Breite/(2·1,96)",
M302,Korea,2025,cps,Rangspanne (alle),6–10,OFFICIAL_STATLINK,Table I.2.o3–o6,
M302,Korea,2025,sci,P10,384.1,OFFICIAL_STATLINK,Figure I.2.1,
